brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year
Oppo,A98 111,855,16,128,108,6000,6.6,33,Yes,Android,Helio G99,3.8,February,2025
Realme,11 Pro+ 843,618,6,128,64,4500,6.9,100,Yes,Android,Tensor G4,4.4,August,2025
Xiaomi,Redmi Note 14 Pro 461,258,16,64,64,4000,6.8,44,Yes,Android,A18 Pro,4.1,March,2025
Vivo,V29e 744,837,6,512,48,4500,6,65,Yes,Android,Exynos 2400,4.1,August,2025
Apple,iPhone 16 Pro Max 927,335,12,128,200,5000,6.9,100,Yes,iOS,Dimensity 9300,3.5,February,2025
OnePlus,Nord 4 295,938,16,512,200,5000,6.2,120,No,Android,Exynos 2400,3.7,May,2025
Infinix,GT 20 Pro 112,418,12,256,64,6000,6.9,44,No,Android,Exynos 2400,4.1,April,2025
Apple,iPhone 16 Pro Max 232,1447,16,64,64,4500,6.7,33,Yes,iOS,Exynos 2400,4.7,November,2025
Infinix,Hot 40 111,1354,6,1024,12,5500,5.7,18,Yes,Android,Tensor G4,4,July,2025
Realme,GT 7 Pro 668,311,8,1024,50,5500,6.9,44,Yes,Android,Snapdragon 6 Gen 1,4.4,March,2025
Samsung,Galaxy Z Fold6 423,1093,8,1024,200,4000,5.6,100,Yes,Android,Snapdragon 8 Gen 3,4.1,April,2025
Apple,iPhone 14 397,1077,8,128,48,6000,7.1,120,No,iOS,Snapdragon 8 Gen 3,4.4,August,2025
Vivo,V30 400,223,8,512,200,5500,6.3,18,Yes,Android,Helio G99,4.9,December,2025
Realme,Narzo 70 620,1192,12,256,12,4000,6.2,33,No,Android,Snapdragon 8 Gen 3,4.7,October,2025
Xiaomi,Poco F6 497,1126,8,64,48,4000,7.2,33,Yes,Android,Exynos 2400,4.7,July,2025
Xiaomi,Poco X6 Pro 400,277,6,256,108,4500,7.1,18,No,Android,Helio G99,4,May,2025
Infinix,Hot 40 658,1467,6,128,48,6000,6.3,18,No,Android,Snapdragon 6 Gen 1,3.8,March,2025
Samsung,Galaxy Z Fold6 163,1339,6,512,200,4500,6.2,120,Yes,Android,Snapdragon 7+ Gen 2,4.7,May,2025
OnePlus,Nord CE 4 Lite 503,642,8,256,200,5500,7.1,33,No,Android,Exynos 2400,4.2,April,2025
OnePlus,OnePlus 12 729,127,16,256,200,5500,5.7,44,Yes,Android,Snapdragon 7+ Gen 2,5,January,2025
Samsung,Galaxy Z Fold6 195,1247,6,1024,12,5000,5.6,65,No,Android,Helio G99,3.8,January,2025
Google,Pixel 9 Pro 845,1392,8,128,108,4500,7.1,44,Yes,Android,Tensor G4,3.8,October,2025
Apple,iPhone 14 328,868,4,512,12,4500,7.2,44,No,iOS,Snapdragon 6 Gen 1,4.6,December,2025
Realme,GT Neo 6 18,1404,16,1024,50,4000,6.6,100,Yes,Android,Tensor G4,4.7,April,2025
Google,Pixel 7a 954,1074,16,64,12,5500,6,100,No,Android,Exynos 2400,4,June,2025
Samsung,Galaxy S24 662,238,16,1024,108,5000,6.1,33,No,Android,Snapdragon 8 Gen 3,5,November,2025
Infinix,Note 40 Pro 925,882,4,128,200,4000,6.6,44,Yes,Android,Exynos 2400,4.1,April,2025
Infinix,Hot 40 967,136,4,64,48,5000,5.6,65,Yes,Android,Snapdragon 7+ Gen 2,4.6,June,2025
Realme,GT 7 Pro 119,627,8,512,50,6000,6.3,44,Yes,Android,Tensor G4,4.6,March,2025
Vivo,X100 Pro 546,412,4,512,200,4500,6.3,44,No,Android,Tensor G4,3.9,April,2025
Samsung,Galaxy M55 471,1288,6,256,108,6000,6.8,18,Yes,Android,Tensor G4,3.9,January,2025
Vivo,Y100A 290,1387,6,1024,108,4000,6.5,65,No,Android,Snapdragon 6 Gen 1,4.9,January,2025
Xiaomi,Poco F6 169,657,4,512,50,4000,7.2,33,No,Android,Snapdragon 8 Gen 3,4.7,October,2025
Apple,iPhone 14 43,1058,4,256,50,4500,6.6,33,No,iOS,Snapdragon 8 Gen 3,4.4,June,2025
Infinix,GT 20 Pro 383,192,4,64,12,5500,5.7,33,No,Android,Snapdragon 7+ Gen 2,3.7,September,2025
Oppo,Reno 11 961,1451,6,128,200,5500,6.9,120,Yes,Android,Tensor G4,4.2,September,2025
Infinix,Zero 30 940,1032,4,512,200,5000,5.9,100,No,Android,Tensor G4,4.8,June,2025
Google,Pixel 8 757,290,12,128,12,5500,6.1,65,No,Android,Snapdragon 7+ Gen 2,3.7,June,2025
Samsung,Galaxy Z Fold6 721,1403,12,256,64,4500,5.8,100,No,Android,Snapdragon 8 Gen 3,4.4,January,2025
Apple,iPhone 16 Pro Max 362,528,4,512,50,5500,7.2,120,No,iOS,Snapdragon 8 Gen 3,4.6,January,2025
Samsung,Galaxy Z Fold6 609,1084,6,128,50,6000,6.6,65,No,Android,Snapdragon 6 Gen 1,5,October,2025
Google,Pixel 9 879,1190,4,256,12,6000,6.1,18,Yes,Android,Helio G99,4.3,October,2025
Samsung,Galaxy A75 850,176,4,128,48,4500,5.8,18,No,Android,Tensor G4,4.9,March,2025
Realme,C65 386,361,6,256,108,4000,6.1,33,No,Android,Snapdragon 8 Gen 3,4.5,November,2025
Samsung,Galaxy A75 912,1252,8,64,50,4000,6.9,18,Yes,Android,Tensor G4,4.2,March,2025
Google,Pixel 9 Pro 577,1480,16,256,64,6000,6.5,44,No,Android,Snapdragon 7+ Gen 2,3.7,June,2025
OnePlus,OnePlus 13 933,1060,12,1024,12,4500,6.4,65,No,Android,Tensor G4,4.8,October,2025
OnePlus,OnePlus 13 787,1497,12,256,64,4000,5.7,18,Yes,Android,Exynos 2400,3.6,April,2025
Google,Pixel Fold 2 474,187,4,1024,200,4000,6.6,100,Yes,Android,Helio G99,4.8,July,2025
Infinix,Smart 8 176,1286,16,64,48,5000,6,18,No,Android,Dimensity 9300,3.6,September,2025
Vivo,X100 Pro 110,467,16,1024,48,4500,5.7,33,No,Android,Helio G99,3.8,February,2025
OnePlus,OnePlus 13R 9,817,16,128,50,4000,5.5,44,Yes,Android,A18 Pro,4.5,July,2025
Xiaomi,Redmi Note 14 Pro 928,1408,12,512,64,6000,6.9,18,No,Android,Exynos 2400,3.8,November,2025
Xiaomi,Mi 13 Ultra 846,1332,16,1024,108,5500,5.9,33,Yes,Android,Snapdragon 7+ Gen 2,4.1,February,2025
Realme,C65 954,417,6,512,50,6000,6.9,120,Yes,Android,Exynos 2400,3.6,March,2025
Samsung,Galaxy M55 286,568,4,64,12,5500,6.7,120,No,Android,A18 Pro,4.6,September,2025
Google,Pixel 9 470,1020,6,128,48,4000,6,18,No,Android,Tensor G4,4.4,December,2025
Xiaomi,Mi 14 324,1194,4,512,50,4500,6.9,120,Yes,Android,Snapdragon 7+ Gen 2,4.6,April,2025
Google,Pixel 9 567,1119,12,1024,108,5000,6.1,18,No,Android,A18 Pro,3.8,August,2025
Realme,GT 7 Pro 133,101,12,1024,50,5000,5.6,18,No,Android,Helio G99,4,November,2025
Xiaomi,Redmi Note 14 Pro 603,241,16,512,48,5500,6.5,100,No,Android,Snapdragon 6 Gen 1,4.4,November,2025
Samsung,Galaxy S24 506,979,8,512,200,5500,6.6,65,No,Android,Snapdragon 6 Gen 1,4.1,December,2025
OnePlus,OnePlus 13 212,848,12,1024,200,5500,5.8,44,Yes,Android,Helio G99,4,March,2025
Google,Pixel 9 Pro 620,892,4,1024,64,4000,5.8,33,No,Android,Snapdragon 7+ Gen 2,4.2,August,2025
Oppo,Find X7 161,584,16,256,48,5000,6.6,120,No,Android,Tensor G4,4.3,September,2025
Oppo,Reno 11 73,681,16,1024,200,5500,6.7,44,Yes,Android,Snapdragon 8 Gen 3,3.6,October,2025
Realme,11 Pro+ 376,112,6,256,200,4000,5.5,120,No,Android,Snapdragon 7+ Gen 2,3.5,January,2025
Realme,GT Neo 6 992,212,4,512,108,6000,7.1,44,No,Android,Exynos 2400,4.3,October,2025
Samsung,Galaxy Z Fold6 466,876,16,64,48,4000,6.4,18,No,Android,Snapdragon 7+ Gen 2,4.1,October,2025
Realme,11 Pro+ 697,1229,8,1024,64,5500,6.4,44,Yes,Android,Dimensity 9300,4.2,August,2025
Xiaomi,Mi 14 89,1276,8,256,108,5500,6.4,120,No,Android,Tensor G4,4.1,January,2025
Realme,GT 7 Pro 108,1047,12,1024,48,4000,7.1,100,No,Android,Helio G99,4.2,July,2025
Google,Pixel 9 Pro 288,1320,4,64,200,4500,6.4,44,Yes,Android,Snapdragon 6 Gen 1,3.9,December,2025
Realme,C65 33,804,12,1024,50,5000,6.4,33,No,Android,Tensor G4,4.4,October,2025
Infinix,Smart 8 822,738,6,512,108,5000,6.8,100,No,Android,Dimensity 9300,4.5,January,2025
Xiaomi,Poco F6 373,651,8,1024,64,4500,5.7,44,Yes,Android,Snapdragon 8 Gen 3,3.6,December,2025
OnePlus,OnePlus 13 908,1053,16,512,12,5500,6.9,33,No,Android,Snapdragon 8 Gen 3,4.1,January,2025
Oppo,Reno 11 265,102,8,128,48,5500,7,33,No,Android,Exynos 2400,4.4,January,2025
Realme,11 Pro+ 814,814,16,256,200,5000,6.2,65,Yes,Android,Exynos 2400,3.7,March,2025
Xiaomi,Redmi Note 14 Pro 634,525,12,64,108,5500,6.6,65,No,Android,A18 Pro,3.7,December,2025
Apple,iPhone 16 Pro 48,1182,6,512,200,4500,6.3,120,No,iOS,Snapdragon 7+ Gen 2,4.6,June,2025
Vivo,Y200 603,1257,12,1024,200,4500,5.8,120,No,Android,Helio G99,4.3,October,2025
Samsung,Galaxy S24 Ultra 609,1400,8,64,64,6000,6,44,No,Android,Tensor G4,3.7,December,2025
Infinix,Smart 8 26,637,8,512,200,5000,5.6,65,No,Android,Snapdragon 7+ Gen 2,4.9,December,2025
Oppo,Find X7 15,1346,16,128,50,5000,7.2,65,Yes,Android,Dimensity 9300,4.8,March,2025
Google,Pixel 9 Pro 753,1480,16,512,108,6000,6.3,33,No,Android,Tensor G4,4.7,April,2025
Oppo,A98 108,1190,4,128,12,5500,6.1,100,No,Android,Dimensity 9300,4.6,January,2025
Oppo,Reno 11 946,1025,16,512,200,6000,6.5,18,Yes,Android,A18 Pro,4.3,August,2025
Vivo,Y200 811,300,12,512,200,5000,7.2,120,Yes,Android,A18 Pro,4.1,October,2025
Xiaomi,Poco X6 Pro 823,629,12,256,64,6000,7.1,44,Yes,Android,A18 Pro,3.7,July,2025
Xiaomi,Poco X6 Pro 537,1442,4,128,108,4500,6.5,18,No,Android,Snapdragon 7+ Gen 2,4.7,December,2025
OnePlus,Nord 4 68,119,12,64,48,4000,5.8,65,Yes,Android,Snapdragon 6 Gen 1,4.4,December,2025
Samsung,Galaxy A75 854,230,6,512,50,4500,6.2,33,No,Android,Dimensity 9300,5,September,2025
Xiaomi,Poco F6 669,238,12,1024,50,4500,7.1,18,No,Android,Snapdragon 8 Gen 3,4.3,October,2025
Google,Pixel 8 540,1230,6,128,200,4000,5.6,44,No,Android,Helio G99,4.4,February,2025
Oppo,Reno 11 404,188,16,1024,200,5000,6.7,100,Yes,Android,Helio G99,4.7,October,2025
Apple,iPhone 16 Pro Max 413,168,4,256,48,4000,6.1,65,Yes,iOS,Snapdragon 7+ Gen 2,4.8,July,2025
Infinix,Zero 30 771,666,8,64,48,4500,6.8,44,Yes,Android,Helio G99,4.5,September,2025
Oppo,Reno 12 96,258,4,256,108,5500,7.2,18,Yes,Android,Helio G99,4.5,June,2025
Realme,GT 7 Pro 272,213,4,256,200,5500,6.2,120,Yes,Android,Helio G99,4.2,February,2025
OnePlus,OnePlus 12 755,1278,12,128,200,5000,6.5,18,No,Android,A18 Pro,3.9,June,2025
Apple,iPhone 16 945,356,6,256,12,6000,6.8,18,No,iOS,Dimensity 9300,4.6,August,2025
Vivo,V29e 240,913,16,1024,48,5500,7.1,33,No,Android,Snapdragon 8 Gen 3,4.1,June,2025
Google,Pixel Fold 2 375,994,16,1024,48,6000,6.6,65,No,Android,A18 Pro,4.3,November,2025
Infinix,Zero 30 458,378,12,512,12,5000,6.9,120,Yes,Android,Snapdragon 6 Gen 1,3.7,November,2025
Xiaomi,Poco X6 Pro 798,758,16,64,12,5500,5.9,18,No,Android,Snapdragon 7+ Gen 2,3.9,October,2025
Oppo,Reno 12 410,166,6,64,64,6000,6.6,100,No,Android,Snapdragon 8 Gen 3,4,June,2025
Vivo,V29e 743,161,16,64,64,5000,7.2,44,Yes,Android,Tensor G4,3.8,August,2025
Realme,GT Neo 6 334,208,16,128,200,6000,7.1,18,No,Android,Snapdragon 7+ Gen 2,4.3,July,2025
Oppo,Reno 12 440,695,8,256,50,5000,6.4,100,No,Android,A18 Pro,4.8,June,2025
Xiaomi,Mi 13 Ultra 418,1343,8,1024,64,5000,5.5,18,No,Android,Tensor G4,4.3,October,2025
Vivo,V29e 261,544,12,1024,200,4000,6.8,44,Yes,Android,Tensor G4,4.1,August,2025
Infinix,Smart 8 626,1470,16,64,108,4000,6.1,33,Yes,Android,Snapdragon 8 Gen 3,4.7,January,2025
Realme,Narzo 70 335,714,16,128,50,4000,5.5,100,No,Android,A18 Pro,4.4,January,2025
Vivo,Y100A 133,1282,4,128,64,5000,6.6,120,Yes,Android,Snapdragon 8 Gen 3,4.4,December,2025
Infinix,Smart 8 549,1164,6,128,200,4000,6.2,18,Yes,Android,A18 Pro,4.8,March,2025
Samsung,Galaxy Z Fold6 878,385,6,64,48,6000,6,18,No,Android,A18 Pro,4.9,January,2025
Infinix,Note 40 Pro 172,1257,6,1024,108,5000,5.9,18,Yes,Android,Snapdragon 6 Gen 1,3.5,January,2025
Google,Pixel 9 Pro 78,1321,16,256,64,4000,7,44,Yes,Android,Tensor G4,4.1,February,2025
Xiaomi,Mi 14 821,776,8,1024,48,5500,6.5,44,Yes,Android,Exynos 2400,4,April,2025
Infinix,Smart 8 989,1394,4,1024,12,4500,6.9,18,No,Android,Snapdragon 8 Gen 3,4.5,June,2025
Google,Pixel 8 416,952,6,256,50,4000,7.1,65,No,Android,Dimensity 9300,4.4,June,2025
Samsung,Galaxy S24 Ultra 375,514,12,128,64,6000,7,100,Yes,Android,Dimensity 9300,3.5,August,2025
Samsung,Galaxy M55 969,1052,6,512,200,5500,7.1,33,Yes,Android,Tensor G4,4.6,August,2025
Infinix,GT 20 Pro 745,1258,8,64,108,4500,6.4,65,Yes,Android,Snapdragon 8 Gen 3,3.6,November,2025
Oppo,Reno 12 808,316,8,512,64,4000,6.6,33,No,Android,A18 Pro,4.5,September,2025
Xiaomi,Poco F6 756,350,6,512,12,4000,6.1,44,No,Android,Helio G99,4.6,April,2025
Vivo,Y100A 340,313,8,64,64,6000,6.1,33,Yes,Android,A18 Pro,4.6,July,2025
Xiaomi,Poco F6 396,1349,12,512,12,4500,6.2,18,No,Android,Snapdragon 8 Gen 3,4.8,January,2025
OnePlus,Nord CE 4 Lite 979,547,12,256,200,4000,6.6,65,Yes,Android,Snapdragon 8 Gen 3,4.4,May,2025
Vivo,Y100A 749,314,12,1024,108,5000,7.1,44,Yes,Android,A18 Pro,4,April,2025
Oppo,Reno 12 300,386,8,128,12,4500,6.2,65,No,Android,Snapdragon 6 Gen 1,4.5,November,2025
Google,Pixel Fold 2 185,476,12,1024,48,5500,6.9,100,No,Android,Snapdragon 6 Gen 1,4.6,August,2025
Google,Pixel 9 297,406,6,256,64,4500,6.7,18,No,Android,A18 Pro,4.2,May,2025
Google,Pixel 8 488,1209,16,64,48,5000,6,33,No,Android,Dimensity 9300,3.6,January,2025
Oppo,A98 349,1141,12,64,12,5000,5.6,100,Yes,Android,Tensor G4,3.8,January,2025
Oppo,F27 Pro 543,444,16,64,48,4500,7,120,Yes,Android,Tensor G4,3.8,February,2025
OnePlus,OnePlus 13R 921,1298,4,64,48,4500,5.7,44,No,Android,Snapdragon 8 Gen 3,3.5,April,2025
Infinix,Hot 40 184,1132,6,128,48,4500,6.9,65,No,Android,Dimensity 9300,3.9,July,2025
Vivo,Y100A 553,1403,4,1024,200,4000,7.1,65,No,Android,Exynos 2400,4.8,December,2025
Vivo,V29e 256,473,16,128,108,5000,6,44,Yes,Android,Snapdragon 6 Gen 1,4.3,December,2025
Samsung,Galaxy S24 289,991,16,128,48,5500,5.8,65,No,Android,Helio G99,3.7,October,2025
Google,Pixel 9 Pro 249,951,8,128,48,5500,6,65,Yes,Android,Snapdragon 6 Gen 1,4.4,March,2025
Infinix,Smart 8 731,910,8,1024,200,4000,5.6,18,Yes,Android,Snapdragon 8 Gen 3,4.6,July,2025
Realme,GT Neo 6 746,752,4,1024,12,5000,6.6,120,No,Android,Snapdragon 8 Gen 3,4.5,December,2025
Vivo,Y100A 908,1220,16,64,64,4500,6,65,No,Android,A18 Pro,4.1,April,2025
Realme,C65 370,827,16,512,50,5500,6.2,100,No,Android,Tensor G4,4,February,2025
Realme,Narzo 70 410,287,8,512,48,5500,6.4,100,Yes,Android,A18 Pro,4.1,June,2025
Xiaomi,Mi 14 338,476,16,512,200,4000,7,120,Yes,Android,Dimensity 9300,4.5,August,2025
Realme,Narzo 70 939,236,12,1024,50,6000,6.8,33,Yes,Android,A18 Pro,4.5,October,2025
OnePlus,Nord CE 4 Lite 268,262,8,1024,108,5000,6.9,18,Yes,Android,A18 Pro,4.3,August,2025
Xiaomi,Mi 13 Ultra 849,803,8,128,200,4500,5.7,120,Yes,Android,Exynos 2400,3.8,January,2025
Xiaomi,Mi 14 53,754,12,512,108,6000,6,120,Yes,Android,Dimensity 9300,3.6,February,2025
Samsung,Galaxy S24 Ultra 98,793,12,128,50,5500,6.4,44,Yes,Android,Tensor G4,4.2,October,2025
Apple,iPhone 16 Pro 315,1188,8,512,48,4000,6.7,18,No,iOS,Snapdragon 7+ Gen 2,4.7,July,2025
Apple,iPhone 16 714,1005,12,1024,12,5000,6.1,33,Yes,iOS,Helio G99,4.6,May,2025
Samsung,Galaxy S24 378,910,4,64,108,6000,6.9,65,Yes,Android,Snapdragon 8 Gen 3,4.1,December,2025
Xiaomi,Poco X6 Pro 204,1496,6,1024,12,5000,7,120,No,Android,Tensor G4,4.6,November,2025
Infinix,GT 20 Pro 907,732,12,64,108,4000,5.6,18,Yes,Android,Dimensity 9300,4.5,December,2025
Oppo,F27 Pro 223,888,16,128,12,5500,6.6,120,No,Android,Snapdragon 7+ Gen 2,3.9,May,2025
Apple,iPhone 16 Pro 763,348,12,1024,108,6000,6.4,100,No,iOS,Snapdragon 8 Gen 3,4.2,April,2025
Apple,iPhone 14 441,1129,12,512,64,4500,7.2,65,No,iOS,Exynos 2400,4.2,August,2025
Vivo,V30 398,503,12,256,48,5000,6.5,44,No,Android,Dimensity 9300,4.1,January,2025
Samsung,Galaxy S24 421,247,16,128,50,4500,7.1,120,Yes,Android,Snapdragon 6 Gen 1,4,February,2025
OnePlus,OnePlus 13 728,1238,8,1024,64,5000,7.2,120,Yes,Android,Snapdragon 7+ Gen 2,4.9,May,2025
OnePlus,OnePlus 13R 421,706,12,1024,50,4000,5.7,33,Yes,Android,Exynos 2400,3.9,March,2025
OnePlus,OnePlus 13 838,1398,6,64,50,5500,5.8,100,Yes,Android,Snapdragon 8 Gen 3,3.6,October,2025
Google,Pixel Fold 2 528,358,4,1024,50,5500,7.1,44,No,Android,Snapdragon 6 Gen 1,4,October,2025
Infinix,Note 40 Pro 164,1430,6,64,48,6000,6.1,100,No,Android,Snapdragon 8 Gen 3,4.1,January,2025
Oppo,Reno 11 399,107,6,64,64,6000,6.3,65,Yes,Android,Snapdragon 8 Gen 3,3.9,March,2025
Realme,C65 776,818,4,512,108,4000,6.3,44,No,Android,Dimensity 9300,4.2,January,2025
Infinix,Hot 40 117,613,16,1024,50,4500,5.9,44,Yes,Android,Exynos 2400,3.9,December,2025
Infinix,GT 20 Pro 990,1065,4,1024,200,6000,6.2,33,Yes,Android,A18 Pro,4.5,January,2025
Oppo,Reno 12 768,1143,4,128,50,5000,6.1,100,No,Android,Dimensity 9300,4.7,October,2025
Xiaomi,Mi 13 Ultra 677,130,8,64,200,5000,6.3,33,No,Android,Snapdragon 8 Gen 3,4.6,February,2025
Xiaomi,Poco X6 Pro 150,781,4,64,12,4500,6.5,120,No,Android,Helio G99,4.2,December,2025
OnePlus,OnePlus 12 683,724,4,128,64,5000,5.7,65,No,Android,Snapdragon 6 Gen 1,3.6,February,2025
Google,Pixel 9 Pro 111,1437,4,256,48,5000,6.6,120,Yes,Android,Helio G99,4.3,September,2025
Infinix,Smart 8 818,1384,16,1024,200,5500,7,44,No,Android,Helio G99,4.9,September,2025
OnePlus,Nord CE 4 Lite 586,876,6,128,12,4500,6.6,120,Yes,Android,Exynos 2400,4.8,March,2025
Realme,C65 285,360,6,256,108,4000,6.6,100,No,Android,A18 Pro,4.1,May,2025
Vivo,Y200 328,776,12,512,48,4500,6.5,65,Yes,Android,Tensor G4,3.6,February,2025
Apple,iPhone 15 325,1326,16,64,12,4000,6,120,No,iOS,Snapdragon 8 Gen 3,3.9,February,2025
OnePlus,OnePlus 12 265,637,16,1024,48,4500,7,100,Yes,Android,Dimensity 9300,3.6,February,2025
Vivo,Y100A 216,1137,4,64,12,6000,6.1,100,Yes,Android,Snapdragon 7+ Gen 2,4.3,February,2025
OnePlus,OnePlus 13 375,342,8,512,48,4500,7.1,18,No,Android,Helio G99,4.8,June,2025
Xiaomi,Mi 14 462,105,12,64,12,5000,6.4,120,Yes,Android,Helio G99,4.8,April,2025
Apple,iPhone 16 577,727,6,64,50,4500,7.2,100,No,iOS,Snapdragon 8 Gen 3,4.1,July,2025
Apple,iPhone 16 979,736,6,128,64,6000,7.1,18,Yes,iOS,Tensor G4,3.7,July,2025
Infinix,Zero 30 499,773,8,64,50,6000,7.1,65,Yes,Android,Snapdragon 7+ Gen 2,4,October,2025
Xiaomi,Poco X6 Pro 519,794,12,1024,200,4000,5.9,44,No,Android,Snapdragon 7+ Gen 2,4.3,October,2025
Apple,iPhone 16 Pro Max 615,367,4,512,200,4500,7.2,65,No,iOS,Dimensity 9300,4.2,April,2025
Google,Pixel 9 43,658,8,64,200,4000,6.8,100,No,Android,Exynos 2400,4.5,August,2025
Google,Pixel 8 485,1375,4,1024,200,6000,5.8,33,No,Android,Helio G99,3.8,February,2025
OnePlus,OnePlus 13R 588,463,8,512,48,4500,6,100,Yes,Android,Dimensity 9300,4.5,November,2025
OnePlus,OnePlus 12 438,304,6,1024,48,4000,7.1,100,No,Android,Snapdragon 8 Gen 3,3.5,January,2025
OnePlus,Nord 4 586,975,4,1024,200,4000,5.6,65,No,Android,A18 Pro,3.6,January,2025
