brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year
Vivo,Y200 101,363,16,64,200,6000,6.8,65,Yes,Android,Helio G99,3.9,March,2025
Apple,iPhone 16 Pro 165,919,8,512,12,5500,7,33,No,iOS,Dimensity 9300,4,December,2025
Realme,GT 7 Pro 382,111,12,1024,50,5500,6.7,44,No,Android,Exynos 2400,5,October,2025
Google,Pixel 9 743,1293,8,512,48,5500,6.3,100,Yes,Android,Dimensity 9300,4.8,April,2025
Apple,iPhone 14 154,186,8,128,64,5500,6.1,120,Yes,iOS,Snapdragon 7+ Gen 2,4.9,December,2025
Vivo,X100 Pro 300,622,8,64,200,4000,7.2,18,Yes,Android,A18 Pro,4.9,November,2025
Xiaomi,Poco F6 162,585,6,1024,50,5000,6,65,No,Android,Dimensity 9300,4.3,June,2025
Infinix,GT 20 Pro 284,1276,16,512,48,6000,7.1,100,No,Android,A18 Pro,4.8,January,2025
Xiaomi,Mi 14 110,328,4,512,108,5500,5.9,100,Yes,Android,Snapdragon 6 Gen 1,4.3,January,2025
Oppo,A98 278,1399,8,1024,48,4500,6.9,100,Yes,Android,Dimensity 9300,5,April,2025
Oppo,Reno 11 742,1414,12,128,12,5500,6.2,65,No,Android,Exynos 2400,3.8,April,2025
Apple,iPhone 14 712,628,6,64,64,5000,7.2,100,No,iOS,Helio G99,3.7,February,2025
Apple,iPhone 16 Pro Max 193,768,16,256,50,6000,6.6,33,No,iOS,Exynos 2400,3.8,June,2025
Google,Pixel 9 Pro 817,660,6,64,48,5000,5.5,18,No,Android,Snapdragon 7+ Gen 2,4.4,September,2025
Infinix,Note 40 Pro 819,567,12,1024,200,4500,6.3,120,Yes,Android,A18 Pro,3.7,March,2025
Samsung,Galaxy A75 379,1137,12,128,12,4000,6.4,65,Yes,Android,Helio G99,4.7,January,2025
Samsung,Galaxy S24 855,992,6,64,200,6000,5.6,33,No,Android,Tensor G4,4,February,2025
Oppo,A98 424,1075,6,64,50,4000,6.6,120,Yes,Android,Tensor G4,4.6,May,2025
Infinix,Note 40 Pro 336,184,6,512,12,4500,6.9,120,Yes,Android,Snapdragon 8 Gen 3,4.5,June,2025
Apple,iPhone 14 869,506,16,256,200,4500,6.6,44,No,iOS,Snapdragon 8 Gen 3,4.1,December,2025
Oppo,F27 Pro 908,238,4,1024,108,5500,5.7,65,No,Android,Snapdragon 8 Gen 3,4.8,January,2025
Oppo,A98 167,1250,6,128,48,6000,6.6,100,No,Android,Snapdragon 6 Gen 1,4.9,October,2025
Apple,iPhone 16 Pro 672,1087,8,128,64,6000,6.9,120,Yes,iOS,Snapdragon 8 Gen 3,3.7,February,2025
Apple,iPhone 16 Pro Max 359,1417,12,512,48,5000,5.6,18,No,iOS,Helio G99,4.9,October,2025
Google,Pixel Fold 2 971,469,8,512,50,6000,6.6,100,No,Android,Exynos 2400,5,June,2025
Samsung,Galaxy A75 466,167,16,256,48,4000,6.7,120,Yes,Android,A18 Pro,4.6,June,2025
Xiaomi,Mi 13 Ultra 59,342,4,512,48,5000,5.5,120,Yes,Android,Helio G99,4.9,August,2025
Samsung,Galaxy Z Fold6 192,1406,8,512,200,4500,5.8,65,Yes,Android,A18 Pro,3.6,June,2025
Realme,GT 7 Pro 842,256,8,512,12,5000,6.5,44,No,Android,A18 Pro,3.9,May,2025
Oppo,Reno 11 625,1059,4,256,12,4000,6.5,100,Yes,Android,A18 Pro,4.5,March,2025
Infinix,Smart 8 689,627,6,128,200,6000,6.1,44,No,Android,Snapdragon 6 Gen 1,4.6,May,2025
Samsung,Galaxy A75 639,1095,12,1024,108,5500,7.1,18,Yes,Android,Dimensity 9300,4.9,March,2025
OnePlus,Nord CE 4 Lite 376,928,12,256,48,4000,6.4,33,Yes,Android,Dimensity 9300,3.8,March,2025
Realme,C65 586,538,6,512,48,6000,6.6,65,No,Android,Tensor G4,3.5,December,2025
Apple,iPhone 15 293,377,12,512,200,5000,7,44,Yes,iOS,Helio G99,4.6,July,2025
Google,Pixel Fold 2 309,447,8,256,48,5500,6.1,100,No,Android,Exynos 2400,4.7,April,2025
Samsung,Galaxy S24 Ultra 180,1160,6,64,48,5500,6.7,65,Yes,Android,Helio G99,4.9,February,2025
Xiaomi,Poco F6 247,773,12,64,12,4500,5.6,100,Yes,Android,Tensor G4,4.3,October,2025
Infinix,GT 20 Pro 828,881,16,1024,200,5500,6,120,No,Android,Snapdragon 8 Gen 3,4.1,December,2025
Samsung,Galaxy S24 669,662,6,512,108,6000,5.8,18,No,Android,Exynos 2400,4.7,March,2025
Xiaomi,Poco X6 Pro 637,997,8,128,200,6000,6,44,Yes,Android,Snapdragon 7+ Gen 2,3.8,April,2025
Realme,GT 7 Pro 425,1332,8,128,48,5500,6.3,44,No,Android,Tensor G4,4.9,April,2025
Xiaomi,Mi 14 497,1336,16,256,48,6000,6.6,120,No,Android,Snapdragon 8 Gen 3,3.8,January,2025
Infinix,Smart 8 258,743,8,128,50,4500,6,44,Yes,Android,Snapdragon 6 Gen 1,4.7,November,2025
Realme,11 Pro+ 644,941,6,128,12,4000,6.1,120,No,Android,A18 Pro,4.8,July,2025
Samsung,Galaxy S24 Ultra 76,462,6,64,64,4500,5.5,18,No,Android,Snapdragon 8 Gen 3,4.1,January,2025
Vivo,Y200 471,1447,8,128,64,4000,6,100,Yes,Android,Snapdragon 7+ Gen 2,3.7,March,2025
Infinix,Smart 8 618,473,8,1024,108,5000,5.5,100,No,Android,Dimensity 9300,3.9,October,2025
Vivo,V30 96,205,6,512,12,6000,7.1,18,Yes,Android,A18 Pro,4.6,December,2025
Oppo,Reno 12 973,1480,4,512,48,5000,6.4,100,Yes,Android,Exynos 2400,4.6,February,2025
Samsung,Galaxy Z Fold6 229,316,12,128,108,5000,6.4,120,Yes,Android,Exynos 2400,4.4,April,2025
Infinix,Note 40 Pro 885,1090,6,128,200,5000,6.7,18,No,Android,Snapdragon 6 Gen 1,4.4,August,2025
Realme,C65 759,543,12,128,50,4500,6.4,44,Yes,Android,Snapdragon 7+ Gen 2,3.9,June,2025
Xiaomi,Mi 14 16,636,4,256,108,5500,7,65,No,Android,Exynos 2400,4,February,2025
Vivo,Y200 464,467,8,512,48,4000,6.5,65,No,Android,Snapdragon 6 Gen 1,4.4,June,2025
OnePlus,OnePlus 13 343,1317,12,512,12,4000,6.5,44,Yes,Android,Snapdragon 7+ Gen 2,3.6,September,2025
Oppo,Find X7 350,1075,6,1024,12,5500,7.1,65,No,Android,Snapdragon 8 Gen 3,3.7,December,2025
Vivo,X100 Pro 740,886,16,128,50,4000,5.5,44,Yes,Android,Snapdragon 8 Gen 3,4.8,July,2025
Realme,C65 454,1420,6,256,200,5000,5.6,18,Yes,Android,Exynos 2400,3.5,July,2025
Apple,iPhone 16 Pro Max 22,625,6,1024,50,4500,6.5,65,Yes,iOS,Snapdragon 7+ Gen 2,4.3,August,2025
Realme,Narzo 70 810,896,16,128,50,4000,6.2,100,No,Android,Dimensity 9300,4.9,February,2025
OnePlus,OnePlus 12 574,731,8,64,12,4000,6.1,44,Yes,Android,Snapdragon 7+ Gen 2,4.2,February,2025
Xiaomi,Poco F6 477,1196,4,64,64,5500,6.3,100,No,Android,Exynos 2400,3.8,January,2025
Oppo,Reno 11 184,1478,6,1024,12,5500,6,120,Yes,Android,Exynos 2400,4.7,February,2025
Realme,C65 591,738,12,128,12,4500,6.4,33,Yes,Android,Snapdragon 8 Gen 3,4,October,2025
Xiaomi,Redmi Note 14 Pro 742,1449,4,512,200,6000,6.2,18,No,Android,Snapdragon 7+ Gen 2,3.8,September,2025
Realme,GT 7 Pro 298,1032,4,256,50,6000,7,44,No,Android,Helio G99,3.9,August,2025
Apple,iPhone 16 645,1233,6,128,12,4000,5.7,33,No,iOS,Dimensity 9300,3.6,December,2025
OnePlus,OnePlus 13R 806,304,6,512,64,4000,6.8,65,No,Android,Dimensity 9300,4.6,January,2025
Google,Pixel 9 Pro 196,225,6,1024,108,5000,7,33,No,Android,Snapdragon 6 Gen 1,4.5,September,2025
Oppo,F27 Pro 390,1040,4,512,200,5500,5.6,44,No,Android,Helio G99,3.7,January,2025
Xiaomi,Mi 13 Ultra 258,235,16,512,108,6000,6.1,44,No,Android,Helio G99,4.7,October,2025
Oppo,Reno 12 224,1060,4,128,200,6000,6.7,65,Yes,Android,Dimensity 9300,4.9,November,2025
Vivo,Y100A 826,1479,12,1024,108,4000,6.2,100,No,Android,Snapdragon 7+ Gen 2,3.5,July,2025
Xiaomi,Mi 13 Ultra 167,1042,12,128,50,4500,6.8,120,No,Android,Snapdragon 6 Gen 1,3.6,May,2025
Vivo,Y200 759,886,8,1024,12,5000,6.7,100,Yes,Android,Snapdragon 8 Gen 3,3.6,July,2025
Oppo,F27 Pro 331,319,6,256,200,4500,6.7,44,No,Android,Dimensity 9300,3.7,May,2025
Infinix,Zero 30 277,404,6,128,48,4500,6.9,18,Yes,Android,Exynos 2400,3.9,May,2025
Infinix,Smart 8 695,1167,4,1024,50,4500,7.1,18,Yes,Android,Snapdragon 7+ Gen 2,5,February,2025
Vivo,Y200 613,1486,16,64,48,5500,6.3,65,No,Android,Snapdragon 7+ Gen 2,4.8,February,2025
Apple,iPhone 14 495,1058,4,128,108,5000,6.8,44,Yes,iOS,Tensor G4,4.4,November,2025
OnePlus,Nord CE 4 Lite 361,255,8,64,200,6000,6.7,65,Yes,Android,Snapdragon 8 Gen 3,4.6,August,2025
Google,Pixel Fold 2 99,1098,4,128,12,5000,7,65,No,Android,Tensor G4,4.5,March,2025
Apple,iPhone 16 Pro Max 779,164,6,512,48,4000,6.6,33,No,iOS,Snapdragon 6 Gen 1,4.5,December,2025
Realme,GT 7 Pro 131,1122,8,128,48,5500,6,120,Yes,Android,Snapdragon 6 Gen 1,3.8,May,2025
OnePlus,Nord 4 281,475,8,64,12,4500,5.8,44,No,Android,A18 Pro,3.9,July,2025
Samsung,Galaxy A75 15,335,4,64,108,5500,5.8,44,Yes,Android,Tensor G4,4.8,April,2025
OnePlus,Nord 4 618,1450,12,1024,200,5000,6.5,18,Yes,Android,Exynos 2400,4,January,2025
OnePlus,OnePlus 13 603,1033,6,512,50,5500,6.7,44,No,Android,Tensor G4,3.5,November,2025
OnePlus,OnePlus 12 703,232,16,1024,200,6000,6.7,100,No,Android,Snapdragon 7+ Gen 2,4.9,June,2025
Apple,iPhone 16 Pro 711,1477,12,512,200,6000,5.7,18,No,iOS,Dimensity 9300,5,August,2025
Oppo,Reno 11 414,661,6,1024,64,5000,7.2,100,Yes,Android,Snapdragon 6 Gen 1,3.6,October,2025
Vivo,Y100A 67,1417,6,512,200,6000,5.6,120,No,Android,Snapdragon 6 Gen 1,4.4,June,2025
OnePlus,OnePlus 12 776,1047,8,1024,12,4500,6.2,120,No,Android,Tensor G4,4.6,April,2025
Samsung,Galaxy A75 480,788,16,1024,64,4500,6.7,65,No,Android,Exynos 2400,3.7,October,2025
Oppo,F27 Pro 826,1012,16,256,108,4000,6.1,120,No,Android,Snapdragon 6 Gen 1,4.9,September,2025
OnePlus,OnePlus 12 529,1138,12,256,12,4500,6.1,33,No,Android,Helio G99,3.8,January,2025
OnePlus,OnePlus 13 308,1413,8,256,12,5000,6.1,65,No,Android,Helio G99,3.7,January,2025
Infinix,Hot 40 38,1019,4,128,200,6000,5.8,33,Yes,Android,Snapdragon 6 Gen 1,4,May,2025
Vivo,Y200 702,604,16,512,108,5000,6.4,65,Yes,Android,Helio G99,3.8,January,2025
Oppo,F27 Pro 604,501,6,256,108,4500,5.7,65,Yes,Android,Tensor G4,3.8,April,2025
Vivo,V30 9,849,16,128,200,5000,6.1,120,No,Android,A18 Pro,4.9,May,2025
Apple,iPhone 16 Pro 566,1014,16,64,12,4000,7,33,Yes,iOS,Snapdragon 6 Gen 1,4.6,April,2025
Vivo,X100 Pro 12,394,16,128,200,5000,5.9,33,No,Android,Snapdragon 7+ Gen 2,4.5,July,2025
Oppo,A98 429,1107,6,1024,48,5000,6.8,120,No,Android,Snapdragon 8 Gen 3,4.2,August,2025
Samsung,Galaxy Z Fold6 549,255,8,512,64,6000,6.7,100,No,Android,Snapdragon 8 Gen 3,4.6,August,2025
Infinix,GT 20 Pro 521,554,16,256,64,5500,6.8,120,No,Android,Helio G99,3.7,August,2025
Realme,GT 7 Pro 710,342,12,512,12,4500,7,65,Yes,Android,Tensor G4,3.5,January,2025
Apple,iPhone 16 Pro Max 361,1163,12,64,108,4000,7,100,No,iOS,A18 Pro,4.1,March,2025
Samsung,Galaxy M55 865,792,4,256,48,4000,7.1,18,No,Android,Helio G99,4.3,January,2025
Vivo,X100 Pro 415,126,6,128,64,4000,6.2,33,No,Android,Exynos 2400,4.3,November,2025
Oppo,F27 Pro 263,691,8,1024,200,6000,6.7,18,Yes,Android,Dimensity 9300,5,June,2025
Oppo,Find X7 246,224,6,512,12,5000,6.8,18,Yes,Android,A18 Pro,4.3,November,2025
OnePlus,OnePlus 12 448,1450,4,512,12,4000,6.5,100,No,Android,Snapdragon 6 Gen 1,4.7,September,2025
Xiaomi,Poco F6 439,256,16,1024,48,4500,6.8,100,No,Android,Helio G99,3.7,August,2025
OnePlus,Nord CE 4 Lite 51,698,6,1024,50,4000,5.8,33,No,Android,Dimensity 9300,4.8,October,2025
Apple,iPhone 15 146,761,6,512,50,4000,5.6,65,No,iOS,Snapdragon 8 Gen 3,3.7,November,2025
Xiaomi,Poco X6 Pro 588,723,12,1024,12,4000,6.7,120,No,Android,Helio G99,3.7,February,2025
Oppo,Reno 11 490,682,16,128,108,5000,7.2,65,Yes,Android,Snapdragon 6 Gen 1,3.8,October,2025
Samsung,Galaxy S24 777,142,4,512,200,4500,6,18,Yes,Android,Snapdragon 8 Gen 3,4.1,December,2025
Google,Pixel 8 809,653,8,128,200,6000,6,65,Yes,Android,Exynos 2400,4.1,April,2025
Infinix,Note 40 Pro 443,263,16,128,12,5500,6.8,100,Yes,Android,Tensor G4,3.5,September,2025
Google,Pixel 9 277,464,16,1024,200,6000,5.7,100,Yes,Android,Snapdragon 6 Gen 1,4.9,September,2025
Xiaomi,Mi 13 Ultra 366,182,12,64,200,5000,6,18,No,Android,Tensor G4,3.8,October,2025
Infinix,Note 40 Pro 36,851,8,1024,108,4000,6.8,18,Yes,Android,Exynos 2400,4.4,December,2025
Xiaomi,Poco F6 487,313,12,256,48,4500,6.1,120,Yes,Android,Dimensity 9300,3.7,May,2025
Vivo,V29e 767,1425,8,256,64,6000,5.8,65,No,Android,Dimensity 9300,3.8,October,2025
Vivo,X100 Pro 585,933,16,512,108,6000,7.1,65,No,Android,Exynos 2400,4.8,July,2025
Samsung,Galaxy S24 903,1221,6,1024,50,5000,6.3,120,Yes,Android,Dimensity 9300,4,June,2025
OnePlus,Nord CE 4 Lite 241,245,4,256,48,4500,6.2,44,Yes,Android,Tensor G4,5,August,2025
Vivo,Y100A 175,1331,16,128,48,6000,6.5,100,Yes,Android,Dimensity 9300,3.7,November,2025
Xiaomi,Mi 14 434,1246,4,512,108,5500,6.6,120,Yes,Android,Helio G99,4.4,July,2025
OnePlus,OnePlus 13 584,702,4,64,108,5000,5.7,100,No,Android,Helio G99,4.5,May,2025
Oppo,F27 Pro 456,1300,6,512,200,4000,5.7,100,Yes,Android,A18 Pro,4.6,February,2025
Vivo,X100 Pro 954,883,8,512,64,5000,7.1,18,No,Android,Dimensity 9300,4.8,January,2025
Samsung,Galaxy M55 748,917,16,64,64,6000,6.2,120,Yes,Android,Snapdragon 8 Gen 3,3.8,August,2025
OnePlus,OnePlus 12 706,724,8,256,64,4500,6.5,18,Yes,Android,A18 Pro,3.9,May,2025
Xiaomi,Poco X6 Pro 270,1356,8,1024,50,5000,6.6,100,No,Android,Snapdragon 8 Gen 3,4.9,February,2025
Infinix,Zero 30 97,284,8,128,200,4000,7,120,No,Android,Dimensity 9300,4.1,January,2025
Xiaomi,Mi 13 Ultra 51,800,4,64,12,5500,6.3,33,No,Android,Snapdragon 6 Gen 1,4.4,March,2025
Infinix,GT 20 Pro 773,1485,16,512,48,5000,6.5,33,No,Android,Snapdragon 8 Gen 3,4.4,July,2025
Oppo,Reno 11 35,544,6,1024,64,5000,6.5,100,Yes,Android,Tensor G4,3.8,October,2025
Realme,Narzo 70 534,486,6,512,108,5000,6.3,120,Yes,Android,A18 Pro,5,January,2025
OnePlus,Nord 4 900,508,6,1024,12,4500,6.6,33,Yes,Android,A18 Pro,4.5,March,2025
Apple,iPhone 16 293,582,12,512,200,6000,5.9,33,Yes,iOS,Exynos 2400,4.4,September,2025
Google,Pixel 7a 89,1256,6,512,50,5000,7.1,33,Yes,Android,Snapdragon 7+ Gen 2,4.7,October,2025
OnePlus,OnePlus 12 988,325,12,64,200,4500,5.5,100,No,Android,Dimensity 9300,3.9,March,2025
OnePlus,Nord CE 4 Lite 757,1446,6,64,200,4500,5.8,65,Yes,Android,Tensor G4,4.6,December,2025
Realme,GT 7 Pro 733,342,16,256,48,4000,5.9,65,No,Android,A18 Pro,4.3,February,2025
Samsung,Galaxy M55 67,638,16,256,50,6000,6.5,18,No,Android,Snapdragon 6 Gen 1,4,April,2025
Apple,iPhone 16 Pro Max 945,715,12,1024,64,4000,5.9,18,Yes,iOS,Snapdragon 7+ Gen 2,3.6,April,2025
Xiaomi,Mi 14 326,1057,8,128,48,4000,6.7,65,No,Android,Snapdragon 7+ Gen 2,4.7,May,2025
OnePlus,OnePlus 13 675,437,12,128,64,4500,6.9,65,Yes,Android,Helio G99,4.3,August,2025
Google,Pixel Fold 2 705,1103,4,64,108,6000,5.7,44,No,Android,Tensor G4,4.1,June,2025
Realme,Narzo 70 451,1386,8,64,12,6000,6.4,100,Yes,Android,Tensor G4,3.9,August,2025
Samsung,Galaxy M55 614,329,8,64,12,5500,5.9,44,No,Android,Helio G99,4.3,December,2025
Oppo,Reno 11 416,953,16,512,64,6000,7.2,33,No,Android,Snapdragon 7+ Gen 2,4,March,2025
Xiaomi,Poco X6 Pro 229,1427,12,128,50,5500,7.1,44,No,Android,Snapdragon 8 Gen 3,4,May,2025
Google,Pixel 7a 421,1143,8,256,64,5500,7,120,No,Android,Exynos 2400,4.6,July,2025
Samsung,Galaxy Z Fold6 472,815,12,64,48,6000,6.3,18,Yes,Android,Snapdragon 6 Gen 1,4.8,October,2025
Xiaomi,Poco X6 Pro 613,254,4,64,48,6000,6.7,33,No,Android,A18 Pro,4.9,March,2025
Xiaomi,Mi 13 Ultra 891,1236,4,128,64,6000,5.6,120,No,Android,Helio G99,4.7,August,2025
Samsung,Galaxy Z Fold6 554,1049,4,1024,48,5500,6.1,18,Yes,Android,Snapdragon 8 Gen 3,4.8,March,2025
OnePlus,OnePlus 12 820,168,6,64,64,5000,6,44,Yes,Android,Helio G99,3.6,November,2025
Realme,GT 7 Pro 342,175,4,64,200,5500,5.8,44,No,Android,Snapdragon 6 Gen 1,4,June,2025
Apple,iPhone 16 Pro 679,646,12,128,50,5000,6.8,120,No,iOS,Helio G99,3.6,December,2025
Apple,iPhone 16 660,937,4,1024,12,6000,6.3,100,Yes,iOS,Helio G99,4.5,April,2025
OnePlus,Nord 4 14,310,8,256,12,5000,7,120,Yes,Android,Exynos 2400,4.3,September,2025
Google,Pixel 8 659,445,16,256,50,4000,6.1,33,No,Android,Snapdragon 8 Gen 3,4.2,November,2025
Google,Pixel 7a 407,253,16,256,12,4500,6.7,120,Yes,Android,Tensor G4,4.4,May,2025
Vivo,V30 278,1373,6,256,48,6000,7,33,Yes,Android,Snapdragon 7+ Gen 2,3.6,May,2025
OnePlus,Nord CE 4 Lite 220,701,4,1024,200,5000,6,120,No,Android,Exynos 2400,3.8,March,2025
Samsung,Galaxy S24 Ultra 298,748,6,256,50,4000,7,33,No,Android,Snapdragon 8 Gen 3,4.5,October,2025
Apple,iPhone 16 Pro 875,703,4,64,200,5500,5.6,33,Yes,iOS,A18 Pro,4.7,April,2025
Apple,iPhone 16 897,1273,6,512,12,4000,5.7,65,No,iOS,Dimensity 9300,4.7,January,2025
Apple,iPhone 15 776,1210,16,64,50,5500,6.7,18,Yes,iOS,A18 Pro,4.2,April,2025
Oppo,A98 242,1285,12,512,50,4000,6.3,18,No,Android,Dimensity 9300,4,November,2025
Oppo,F27 Pro 537,880,12,512,50,4500,6.5,65,Yes,Android,Tensor G4,5,March,2025
Infinix,Hot 40 177,1012,16,64,108,5500,5.7,18,No,Android,Snapdragon 7+ Gen 2,4.6,October,2025
Vivo,Y200 221,1399,12,1024,48,6000,6.7,65,Yes,Android,Snapdragon 7+ Gen 2,4.9,January,2025
Realme,C65 705,234,12,128,200,6000,6.3,100,Yes,Android,Helio G99,5,October,2025
Vivo,V29e 705,701,6,128,108,4000,6.4,120,No,Android,Snapdragon 8 Gen 3,4.2,June,2025
Oppo,Reno 11 52,760,16,128,12,6000,6.5,120,Yes,Android,A18 Pro,4,September,2025
Infinix,Note 40 Pro 787,688,8,256,64,5000,5.7,18,Yes,Android,Snapdragon 6 Gen 1,3.7,October,2025
OnePlus,Nord 4 508,1409,12,1024,48,5500,6.1,65,Yes,Android,Dimensity 9300,4.9,May,2025
Samsung,Galaxy S24 Ultra 700,693,8,64,108,5000,5.5,33,No,Android,Snapdragon 7+ Gen 2,4,July,2025
Realme,C65 212,882,6,1024,48,5500,6,65,No,Android,Dimensity 9300,4.7,September,2025
Apple,iPhone 16 Pro Max 955,706,12,1024,64,4000,7.1,120,No,iOS,Helio G99,4.5,December,2025
Infinix,GT 20 Pro 71,650,12,64,12,5500,6.2,44,No,Android,Helio G99,4.2,April,2025
Google,Pixel 8 185,1340,6,64,200,4500,6,44,No,Android,Dimensity 9300,4.1,December,2025
Samsung,Galaxy M55 851,540,4,128,108,5500,5.7,120,No,Android,Dimensity 9300,4,February,2025
Infinix,Zero 30 344,513,16,256,64,4500,6.9,18,No,Android,Tensor G4,4.8,January,2025
Google,Pixel 9 694,968,8,256,48,4500,5.7,33,No,Android,Dimensity 9300,4.3,April,2025
Apple,iPhone 16 Pro 141,661,4,256,200,4000,6.5,120,Yes,iOS,Helio G99,4.5,December,2025
Oppo,Reno 12 249,289,6,1024,12,6000,5.8,100,No,Android,Exynos 2400,4.4,January,2025
Vivo,Y100A 168,1159,4,128,48,4000,7.1,44,No,Android,Exynos 2400,4,July,2025
Realme,11 Pro+ 967,502,4,512,108,5500,6.4,100,Yes,Android,Snapdragon 6 Gen 1,3.8,March,2025
OnePlus,OnePlus 13 206,137,6,64,48,4500,5.8,33,No,Android,Snapdragon 7+ Gen 2,3.7,October,2025
Apple,iPhone 16 Pro Max 988,545,4,256,64,5000,5.7,44,Yes,iOS,Helio G99,3.8,July,2025
Apple,iPhone 16 Pro 236,1460,12,64,200,6000,5.6,120,Yes,iOS,A18 Pro,4.4,July,2025
